"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 16:08:20 ALMT 2023","Tue Apr 18 16:08:36 ALMT 2023","16422","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug8Test","com.ts.integration.tests.proc_sla_bug.SlaBug8Test","slaBugMsgClose","закрыть",""
"passed","Tue Apr 18 16:10:45 ALMT 2023","Tue Apr 18 16:11:05 ALMT 2023","19190","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureProvideReqInfo","Сообщить уточненные требования",""
"passed","Tue Apr 18 16:07:30 ALMT 2023","Tue Apr 18 16:07:38 ALMT 2023","8324","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","slaBugMsgProvideInfo","предоставить информацию",""
"passed","Tue Apr 18 16:08:54 ALMT 2023","Tue Apr 18 16:09:17 ALMT 2023","22841","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureRequestReqInfo","Запросить уточненные требования",""
"passed","Tue Apr 18 16:15:34 ALMT 2023","Tue Apr 18 16:15:39 ALMT 2023","5388","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","slaBugMsgClose","закрыть",""
"passed","Tue Apr 18 16:13:51 ALMT 2023","Tue Apr 18 16:14:02 ALMT 2023","10764","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureSendCostPreRetry","Сообщить повторно предварительные условия реализации",""
"passed","Tue Apr 18 16:14:58 ALMT 2023","Tue Apr 18 16:15:12 ALMT 2023","14609","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","slaBugMsgHotFixRetry","предоставить решение",""
"passed","Tue Apr 18 15:57:20 ALMT 2023","Tue Apr 18 15:57:24 ALMT 2023","3291","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","receiveTask","get запрос",""
"passed","Tue Apr 18 16:14:02 ALMT 2023","Tue Apr 18 16:14:24 ALMT 2023","21719","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","slaBugMsgStHotFix","предоставить решение",""
"passed","Tue Apr 18 16:19:54 ALMT 2023","Tue Apr 18 16:20:20 ALMT 2023","26048","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureReadyPatch","Передать на включение в патч",""
"passed","Tue Apr 18 16:12:49 ALMT 2023","Tue Apr 18 16:13:14 ALMT 2023","24541","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureAlternateCost","Задать вопрос или предложить альтернативные вопросы реализации",""
"passed","Tue Apr 18 16:05:05 ALMT 2023","Tue Apr 18 16:06:17 ALMT 2023","71342","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature2Test","com.ts.integration.tests.proc_sla_feature.SlaFeature2Test","msgSlaFeatureBeginCostFinal","Передать на окончательную оценку аккаунт менеджеру",""
